ingredients,safe_ingredients,harmful_ingredients,general_health_assessment,toxicity_score,allergen_risk,regulatory_status
"Ingrédients echine de porc. sel sucre, arômes naturels. conservateurs (E252 E250). Produit emballe","['echinacea', 'pork extract']",[],"Overall, these ingredients appear to be safe for consumption. However, it is important to note that the product may contain preservatives (E250 and E252) which could potentially have negative effects on health in large amounts or when consumed regularly.",Unknown,Unknown,Unknown
"Agua, azúcar, acidulante: ácido cítrico, extracto de té (1 g/L), zumo de limón a partir de concentrado (0,1%), corrector de acidez: citratos de sodio, antioxidante: ácido ascórbico, edulcorante: sucralosa, aroma natural de limón con otros aromas naturales.","['Agua', 'ácido cítrico']",[],No specific health concerns found for these ingredients.,Unknown,Unknown,Unknown
"Pasteurisierte Milch, Rahm, Speisesalz, mikrobielles Lab, Milchsäuerungskulturen, Reifekulturen.","['Pasteurisiertemilch', 'Rahм']",[],"Overall, the product appears to be safe for consumption. Pasterization is a common method used in food production that kills harmful bacteria and viruses while preserving nutrients such as vitamins A and D found naturally in milk.",Unknown,Unknown,Unknown
"chilli sauce (71%) fructose, concentrated pineapple juice, glucose syrup, tomato paste, onion concentrate, salt, mirin rice wine, water, red pepper juice concentrate, crushed chilli, garlic puree, rapeseed oil, ginger puree, acidity regulator (acetic acid), Nigella seeds, colour (paprika extract), cayenne pepper, chilli coater (29%) [corn starch, ground spices (paprika, ginger, coriander, turmeric, black pepper, clove, cinnamon, allspice, cumin), garlic powder, onion powder, soy sauce powder [soy sauce (soya beans, water, salt, spirit vinegar), matodextrin, salt), salt, yeast extract, maltodextrin, mushroom extract, rapeseed oil, garlicoil]","['fructose', 'concentrated pineapple juice', 'glucose syrup']",[],"Overall the ingredients seem safe to consume. However, it is important for individuals with allergies or intolerances of certain spices such as cayenne pepper and chilli coater (29%) should exercise caution while consuming this product.",Unknown,Unknown,Unknown
"Viande de poulet, Graisse végétale (palme), Sel, Protéine de LAIT, Dextrose, Extrait végétale, Arôme, Antioxidant ascorbate de sodium, Colorant: Cochenille naturelle, Conservateur, nitrite de sodium, nitrate de potassium, Ferments, Fumée, Peut contenir des traces de: Céleri, Moutarde,","['Viande de poulet', 'Graisse végétale (palme)', 'Sel']",[],"Overall, the product appears to be safe for consumption. However it is important to note that some of these ingredients may have potential allergens or health concerns if consumed in large quantities.",Unknown,Unknown,Unknown
Mature Cheddar Cheese (Milk) Minced Black Summer Truffle (Black Summer Truffle Vegetable Oil (Sunflower/Rapeseed) Water Salt)-Truffle Flavouring,"['Mature Cheddar Cheese', 'Minced Black Summer Truffle']",[],"Overall, the product appears to be safe for consumption. However, individuals with allergies or intolerances should exercise caution when consuming dairy products such as cheese.",Unknown,Unknown,Unknown
"fruits, acide ascorbique","['fruits', 'acide ascorbique']",[],"The ingredients appear to be safe for consumption. Fruits are a good source of vitamins and fiber, while acide ascorbique is an antioxidant that may have health benefits in small amounts.",Unknown,Unknown,Unknown
"Pfirsiche (28%), Trinkwasser, Eierlikör (16%), Schlagsahne (11%), Zucker, Biskuit (6%) (Eier, Zucker, Stärke (Weizen, Mais, Reis), Weizenmehl, Laktose, Emulgatoren (E471, E475), Säuerungsmittel E450, Backtriebmittel E500), Maracuja (5%), Magermilchjoghurt, modifizierte Stärke, Rum (1,5%), Glukose-Fruktose-Sirup, Gelatine (Rind), Speisesalz, Antioxidationsmittel E300, Aroma, Farbstoff E160a, Säuerungsmittel E330.","['Pfirsiche', '28']",[],"Overall the product seems safe to consume, however it is important for individuals with allergies or intolerances of certain listed ingredients (such as Laktose and Glukose-Fruktose Sirup) should exercise caution before consuming this product. Additionally some food colorings may cause adverse reactions in sensitive people.",Unknown,Unknown,Unknown
"eau, poissons de la criée d'Arcachon (30% minimum), concentré de tomate, vin blanc, crème de riz, oignons, carottes, poireaux, huile d'olive, ail, cèleri, sel, poivre, épices et safran.","['eau', ""poissons de la criée d'Arcachon (30% minimum)"", 'concentré de tomate']",[],"Overall, the ingredients appear to be safe. However, it is important for individuals with shellfish allergies or intolerances to avoid consuming this product due to potential cross-contamination from poissons de la criée d'Arcachon (30% minimum). Additionally, while tomatoes are generally considered healthy and low risk, some people may be sensitive to them. It is also important for individuals with celiac disease or gluten intolerance to avoid consuming this product due to the presence of crème de riz.",Unknown,Unknown,Unknown
"KOLSYRAT VATTEN, SUKROS,  GLUKOSSIRAP, SYRA (CITRONSYRA, VINSYRA) TAURIN (0.4%). AROMER, SMAKFÖRSTÄRKARE (ERYTRITOL, SURHETSREGLERANDE MEDEL (NATRIUMVÄTEKARBONAT MAGNESIUMKARBONAT), KONSERVERINGSMEDEL (SORBINSYRA, BENSOESYRA), KOFFEIN (0,03%) SÖTNINGSMEDEL (SUKRALOS), VITAMINER (RIBOFLAVIN (B2), NIACIN (B3), B6, B12), FÄRGÄMNE (ANTOCYANER,L-KARNITIN L-TARTRAT (0,004%), INOSITOL.","['TAURIN', 'SMAKFÖRSTÄRkARE']",[],"Overall, the ingredients appear to be safe for consumption. However, it is important to note that excessive intake of certain sweeteners like ERYTRITOL and SURHETSREGLERANDE MEDEL (NATRIUMVÄTEKARBONAT MAGNESIUMSPECIFIKE KARBOHATT) could potentially lead to health issues. It is also important for individuals with a sensitivity or allergy to any of the ingredients listed here, to avoid consuming this product.",Unknown,Unknown,Unknown
"co all-butter orange p flavoured cookies made with chunks of belgian dark and milk chocolate. 200ge ingredients fortified wheat flour (wheat flour, calcium carbonate, iron, niacin, thiamin), butter (milk) (21%), sugar, belgian dark chocolate chunks (13%) (sugar, cocoa mass, cocoa butter, emulsifier (lecithins (soya)), flavouring), belgian milk chocolate chunks (10%)(sugar, whole milk powder, cocoa butter, cocoa mass, emulsifier (lecithins (soya), flavouring), orange peel (3%), partially inverted sugar syrup, glucose syrup, raising agents (ammonium carbonates, disodium phosphate, sodium bicarbonate), salt, orange oil. allergy advice for allergens, including cereals containing gluten, see ingredients in bold. also, may contain nuts. nutrition reference intake average. adult per cookie per typical values per 100g (approx. 25g) serving energy value (kcal 2038kj",[],[],Error: Expecting value: line 1 column 1 (char 0),Unknown,Unknown,Unknown
"Sarasin moulu, chia moulue (10%), poudre de mangue lyophilisée (9%), sarrasin activé,( 100% Ingrédients issus de l'agriculture biologique) amandes moulues, baobab en poudre (6%), Dattes moulues.","['Sarasin moulu', 'chia moulue']",[],"Overall, the product appears to be safe for consumption as all listed ingredients are derived from organic agriculture and do not have any known harmful effects. However, individuals with allergies or sensitivities should still exercise caution when consuming these products.",Unknown,Unknown,Unknown
"_Sardines_ (Sardina pilchardus) , huile d'olive vierge extra, sel","['sardine', ""huile d'olive vieux""]",[],"The ingredients appear to be safe for consumption. Sardines are a good source of omega-3 fatty acids and protein, while olive oil is high in monounsaturated fats which can help lower bad cholesterol levels.",Unknown,Unknown,Unknown
"Unbleached enriched flours (wheat flour, malted barley flour, niacin, iron, thiamin mononitrate, riboflavin, folic acid), sugar, palm oil, buttermilk powder, canola oil (ascorbic acid and rosemary added to preserve freshness), blueberries (wild blueberries, sugar, canola oil, natural flavor, malic acid), baking powder (sodium acid pyrophosphate, sodium bicarbonate, corn strach, monocalcium phosphate), freeze dried raspberries, freeze dried blackberries, natural berry flavored pieces [sugar, vegetable oil (palm, palm kernel), unbleached wheat flour, blueberry and carrot juice (for color), natural flavor, soy lecithin, malic acid], salt, baking soda, natural flavor.","['Unbleached enriched flours', 'Sugar', 'Palm oil', 'Buttermilk powder']",[],"Overall, the ingredients in this product appear to be safe for consumption. However, it's important to note that some people may have allergies or sensitivities to certain components such as wheat flour and soy lecithin.",Unknown,Unknown,Unknown
"wheat flour, palm oil, barley malt extract, glucose syrup, palm fat, raising agents (ammonium carbonates, sodium carbonates), liquid egg, salt, flavouring, antioxidant (sodium sulphite), may contain soya, milk and sesame,","['wheat flour', 'palm oil']",[],"Overall the ingredients seem safe to consume. However it is important for individuals with allergies or intolerances, such as soy and sesame, to exercise caution.",Unknown,Unknown,Unknown
"Organic extra-virgin olive oil, fresh squeezed organic lemon juice, organic raw apple cider vinegar, fresh organic garlic, fresh organic dill, organic scallions, fresh organic parsley, celtic sea salt, organic black pepper","['Organic extra-virgin olive oil', 'Fresh squeezed organic lemon juice', 'Organic raw apple cider vinegar']",[],"Overall, these ingredients appear to be safe for consumption. Olive and coconut oils are known sources of healthy monounsaturated fats that can help lower cholesterol levels in the bloodstream. Lemon juice is rich with vitamin C which boosts immune system function and helps detoxify your liver, while apple cider vinegar has been shown to have numerous health benefits such as aiding digestion and reducing inflammation.",Unknown,Unknown,Unknown
"Cooked enriched pasta (water, enriched durum semolina [niacin, ferrous sulfate, thiamine mononitrate, riboflavin, folic acid], wheat gluten), water, half and half (milk, cream), cooked white chicken (chicken breast with rib meat, water, soy protein isolate, 2% or less of salt, sodium phosphate, modified food starch, maltodextrin and natural flavor), less than 2% of grated cheese blend (parmesan and asiago cheeses [cultured milk, salt, enzymes], natural flavor, cellulose, salt), modified food starch, cheese flavor (enzyme modified cheese and butter [cheddar cheese {pasteurized milk, cheese culture, salt, enzymes}, butter, cheese culture, enzymes], whey, buttermilk solids, salt, sodium phosphate, lactic acid), salt, cheese flavor (romano cheese [pasteurized cow's milk, cultures, salt, enzymes], water, salt, sodium phosphates), canola oil, yeast extract, spices, xanthan gum, granulated garlic, chili powder (chili pepper, spices, salt, garlic powder), parsley flakes, granulated onion, paprika, disodium phosphate.","['Cooked enriched pasta', 'Water']",[],"The ingredients in this product appear to be safe for consumption. However, it is important to note that excessive intake of sodium and saturated fats can have negative health effects.",Unknown,Unknown,Unknown
100* pure poudre de Chlarel Bo Chlorella pyrénoidosa). (sans excipients ni agent de compresion produit issu de l'agriculture biologique,['100* pure poudre de Chlarel Bo Chlorella pyrénoidosa'],[],"The product appears to be safe for consumption as it contains only one ingredient, 100% organic chlorophyllin powder from the algae Chlorella pyrénoidosa. This compound is generally considered a health benefit due to its antioxidant properties and potential support of digestive function.",Unknown,Unknown,Unknown
"Pommes de terre 53.9%, préparation à base de viande de boeuf 29% [viande de boeuf 26%, protéines de pois, chapelure (_blé_), farine de riz, fibre végétale, sucre, arômes naturels, tomate déshydratée, sel, plantes aromatiques, sel fumé, épices], sauce à l'estragon et échalote 12% [eau, huile de colza, jaune d'_oeuf_, amidon transformé de pomme de terre, sucre, estragon 0.21%, échalote 0.18%, vinaigre d'alcool, cerfeuil, vinaigre de vin blanc, sel, jus concentré de citron, arôme naturel estragon, arôme naturel de carotte, piment de cayenne], huile de tournesol, sel, persil, oignons déshydratés, paprika, curcuma.","['Pommes de terre', 'Préparation à base de viande de boeuf']",[],"The ingredients appear to be safe for consumption. However, it is important to note that the sauce may contain allergens such as wheat and eggs due to their presence in some of its components.",Unknown,Unknown,Unknown
"Water, sugar, passion fruit juice(2%) basil seed, citric acid, natural flavor","['Water', 'Sugar']",[],"The ingredients appear to be safe for consumption. However it's important to note that excessive intake of sugar can lead to health issues such as obesity, diabetes and tooth decay.",Unknown,Unknown,Unknown
