ingredients,safe_ingredients,harmful_ingredients,general_health_assessment,toxicity_score,allergen_risk,regulatory_status
"Pâte feuilletée 50%: (FRRINE,BEURRE, Garniture 50%: (LRIT, pommes de terre (E223: IIE02RE, NECTfllRE 13%,CRNTHL 470, sel, persil, -",[],"['FRRINE', 'BEURR']",The product contains butter and flour which are safe to consume in moderation. However it is important for individuals with allergies or intolerances of these ingredients to avoid consuming this product.,Unknown,Unknown,Unknown
"Jambon de porc, gras de porc, couenne de porc, sel nitrité, sel de guérande, lactose, sucre, clous de girofle, oignons","['Jambon de porc', 'gras de porc', 'couenne de porc']",[],"Overall, the product appears to be safe for consumption. However, it's important to note that nitrite preservatives (such as sodium nitrité) can cause adverse health effects when consumed in large amounts or under certain conditions.",Unknown,Unknown,Unknown
"69,5% Kichererbsenmehl*, Reismehl*, 0,5% Mearsalz. *aus kontrolliert biologischem Anbau. Kann Spuren von Sesam und Soja enthalten.","['Kichererbsenmehl', 'Reismehl']",[],"The product contains Kickerbrensmelh and Reisemiel, which are both safe for consumption. There is a potential cross-contamination with sesame or soy due to the mention of these allergens in small amounts.",Unknown,Unknown,Unknown
"Grasa de leche de vaca, sólidos de leche, lecitina de soya, mono y diglicéridos de ácidos grasos, benzoato de sodio, sorbato de potasio como conservadores, vitamina A y vitamina D.","['Grasa de leche de vaca', 'sólidos de leche']",[],"Overall, the product appears to be safe for consumption. However, it is important to note that excessive intake of saturated fats from dairy products can lead to high cholesterol levels and an increased risk of heart disease.",Unknown,Unknown,Unknown
"FLOUR, SUGARIGLUCOSE-FRUCTOSE, FANCY MOLASSES, WHOLE EGG, CANOLA OIL, PALM 011, SODA, SOu IECITHIN, NATURAL FLAVOUR. CONTAINS: SOYA, AND MILK. BAKED IN A FREE I : FARINE DE BLÉ, SUCREIGLUCOSE-FRUCTOSE, MÉLASSE QUALITÉ FANTAISIE, ŒUF ENTIER LIQUIDE, HUILE DE PETIT-LAIT EN POUDRE, SORBITOL, BICARBONATE DE SOUDE, GLYCÉRINE VÉGÉTALE, LÉCITHINE DE SOYA, ARÔME NATUREL. CONTIENT : BLÉ, SOu, CONFECTIONNÉ JNE USINE EXEMPTE DE ET D'ARACHIDES.","['FLOUR', 'SUGARIGLUCE-FRUCTOSE']",[],"The ingredients appear to be generally safe. However, it's important for individuals with allergies or intolerances of soy and milk products to avoid this product.",Unknown,Unknown,Unknown
"noisettes* (25%), noix* (20%), amandes* (16%), noix du Brésil* (13%), noix de cajou* noisettes grillées* (7%), amandes blanchies* (6%).","['noisette', 'amande']",[],The ingredients appear to be safe for consumption. No harmful substances were found.,Unknown,Unknown,Unknown
"Water, potato flakes (potatoes, mono & diglycerides, sodium acid pyrophosphate, citric acid), durum wheat flour, pasteurized cage free eggs, salt.","['Water', 'Potato Flakes']",[],"Overall the product seems safe to consume as all listed ingredients are common and widely used in food production. However, individuals with celiac disease or gluten intolerance should avoid durum wheat flour.",Unknown,Unknown,Unknown
"Filet de dinde 81%, bouillons (eau, os de poulet, viande de dinde, échalote, ail, épices, plantes aromatiques, carotte, _céleri_, oignon, poireau, sel), sel, dextrose de maïs, concentrés de carotte et _céleri_, ferments, antioxydant : ascorbate de sodium, colorant : caramel ordinaire.","['Filet de dinde 81%', 'eau']",[],"Overall, this product appears to be safe for consumption. However, it is important to note that the presence of sodium and added sugars may contribute to high blood pressure or other health issues if consumed in excess.",Unknown,Unknown,Unknown
"Poivrons rouges jaunes et verts, graines de tournesol, huile de tournesol, sirop d’agave, purée de tomates, tomates séchées, amidon de pommes de terre, jus concentré de citron, sel marin, épices, oignons en poudre, farine de graines de caroube * Ingrédients issus de l'agriculture biologique","['Poivrons rouges jaunes et verts', 'huile de tournesol']",[],"Overall, these are safe and healthy ingredients. However, it's important to note that the presence of tomatoes may cause allergic reactions in some people.",Unknown,Unknown,Unknown
"Uvas viníferas vermelhas, conservante: Ácido Sulfuroso (INS 220). NÃO CONTÉM GLÚTEN. CONTÉM SULFITOS. Prazo de validade: Inderteminado, desde que mantido em local seco, fresco e ao abrigo da luz, Preferencialmente em posicão horizontal. E CONSUMO EXCESSIVO DE ÁLCOOL - É PROIBIDA A VENDA DE BEBIDAS ALCOÓLICAS PARA MENORES DE 18 ANOS.",['Uvas viníferas vermelhas'],[],"Overall, the ingredients seem to be safe for consumption. However, it's important to note that excessive alcohol intake can have negative health effects and is not recommended for individuals under 18 years old.",Unknown,Unknown,Unknown
"Foie gras de canard du Sud-Ouest, sel, épices, nitrite de sodium.","['sel', 'épices']","['Foie gras de canard du Sud- Oest', 'nitrate of soda']","The product contains harmful ingredient Foie Gras which is made from force feeding ducks, and Nitrite Sodium. It's also important to note that salt should be consumed in moderation as it can increase blood pressure if taken too much.",Unknown,Unknown,Unknown
Lima deshidratada,[],['Lima Deshydrated'],The ingredient 'Deshyratado de Limon' is potentially harmful and should be avoided.,Unknown,Unknown,Unknown
"Pernil de cerdo, sal, azúcar, saborizante, espesante: INS 407, estabilizante: INS 452 i, antioxidante: INS 316, exaltador del sabor: INS 621, conservador: INS 250, colorante: INS 120. PUEDE CONTENER LECHE.","['Pernil de cerdo', 'sal']",[],"Overall, the product appears to be safe for consumption as it contains only a few common food additives and preservatives. However, some people may have allergic reactions or intolerances to certain of these additives.",Unknown,Unknown,Unknown
"huile de colza (59%), eau, _moutarde_ (eau, vinaigre, graines de moutarde, sel, épices), jaune d'_œuf_ salé, vinaigre, sel, extraits naturels (sucre torréfié, tamarin, extrait de levure, noix de muscade, clou de girofle), poivre (1,3%), amidon modifié de maïs, concentré de tomates, extrait de the vert, antioxydant : extrait de romarin, épaississant: gomme xanthane.","['huile de colza', '_moutarde_(eau, vinaigre, graines de moutarde, sel, épices)', ""jaune d'_œuf_salé""]",[],"Overall the product appears to be safe for consumption. However it is important to note that some individuals may have allergies or sensitivities to certain ingredients such as wheat, soybeans and corn which are present in this recipe.",Unknown,Unknown,Unknown
"Water, organic pinto beans.","['Water', 'Organic Pinto Beans']",[],"The ingredients in this product appear to be safe for consumption. Organic pinto beans are a good source of protein, fiber and other nutrients while water is essential hydration that can help maintain body temperature, lubricate joints and transport necessary nutrients throughout the body.",Unknown,Unknown,Unknown
"shrimp (shrimp [litopenaeus vanname], water, salt), cocktail sauce (prepared horseradish [horseradish, distilled vinegar, salt, mustard oil], tomato paste, distilled vinegar, sugar, water, salt, chili paste, mustard flour), contains: shrimp (crustacean shellfish),","['shrimp', 'water']",[],"Overall, this product appears to be safe for consumption. However, individuals with shellfish allergies should exercise caution when consuming shrimp.",Unknown,Unknown,Unknown
"Cultured pasteurized nonfat milk, sugar, cherries, cherry juice concentrate, pectin, natural flavor, locust bean gum, sodium citrate, black carrot juice concentrate (for color), citric acid, calcium chloride.","['Cultured pasteurized nonfat milk', 'sugar', 'cherries', 'pectin', 'natural flavor']",[],"Overall, these ingredients seem to be safe for consumption. However, it's important to note that some people may have allergies or intolerances to certain foods such as dairy (milk) and fruits.",Unknown,Unknown,Unknown
eau gazéifiée ; sucre ; acidifiants : acide citrate de sodium ; arôme naturel de Citron-citron vert.,"['eau', 'suce']",[],"The product contains water and sugar, which are generally safe for consumption in moderation. However, the presence of sodium citrate acid may cause stomach upset or diarrhea if consumed excessively.",Unknown,Unknown,Unknown
"Latte parzialmente scremato, fermenti lattici vivi (Bifidobacterium, Lactobacillus acidophilus, Lacrobacillus bulgaricus, Streptococcus termophilus), lieviti.","['Latte parzialmente scremato', 'fermenti lattici vivi (Bifidobacterium, Lactobacillus acidophilus, Lacrobacillus bulgaricus, Streptococcus termophilus)', 'lieviti']",[],Overall the ingredients seem to be safe for consumption. The fermented milk and live yeast are beneficial probiotics that can improve gut health.,Unknown,Unknown,Unknown
